,Loan ID,Loan Grade,Term (months),Origination Date,Interest Rate,APR,Origination Fee,Loan Size,Outstanding Principal,Days Late,Delinquency Status,Charged Off Amount,Charged Off Date
63837,L69683,E,60,2017-05-30,26.16,29.75,639.45,9500.0,9500.0,0,Current,,
5791,L4724,A,36,2015-03-05,7.26,10.76,1100.0,22000.0,4160.31,0,Current,,
70751,L78659,E,60,2017-07-06,22.33,25.41,426.0,7100.0,7100.0,0,Current,,
24200,L23063,B,36,2016-01-08,9.36,12.9,185.0,3700.0,1978.43,0,Current,,
31099,L30064,C,36,2016-04-05,15.18,18.85,1225.0,24500.0,15560.16,0,Current,,
75397,L85324,C,60,2017-07-27,14.18,17.42,819.6,12000.0,12000.0,0,Current,,
33142,L32835,B,60,2016-05-26,17.23,19.94,1400.0,25000.0,20912.21,0,Current,,
37268,L37554,B,36,2016-08-02,8.6,12.57,952.0,17000.0,12257.8,0,Current,,
10540,L8818,A,36,2015-06-26,7.81,11.32,560.0,11200.0,4056.23,6,In Grace,,
44677,L53369,AA,60,2017-02-02,9.46,10.68,336.0,12000.0,10934.58,0,Current,,
12063,L10565,A,36,2015-07-30,6.84,10.33,650.0,13000.0,0.0,122,Charged Off,6230.73,2017-06-23
48282,L50805,A,60,2017-01-04,11.71,14.27,862.4,15400.0,12824.14,0,Current,,
22974,L30544,A,36,2016-04-11,8.14,10.37,208.0,6500.0,3242.55,0,Current,,
44771,L59241,C,36,2017-03-29,12.28,14.67,236.04,7000.0,6516.22,0,Current,,
4083,L3730,C,36,2015-01-29,13.94,18.34,1500.0,25000.0,4261.26,0,Current,,
36727,L46499,A,36,2016-11-18,7.55,11.5,2800.0,50000.0,39829.28,0,Current,,
28129,L26904,B,36,2016-02-26,8.91,11.72,900.0,22500.0,12602.3,0,Current,,
59367,L65450,D,60,2017-05-08,16.99,20.18,392.28,6000.0,5762.0,0,Current,,
51641,L55284,A,60,2017-02-17,11.16,13.71,431.2,7700.0,7129.88,0,Current,,
33353,L33499,A,36,2016-06-07,8.56,12.53,1512.0,27000.0,18031.56,0,Current,,
29166,L28193,D,36,2016-03-14,19.09,22.85,2250.0,45000.0,0.0,442,Charged Off,47598.02,2016-09-14
25547,L71505,C,60,2017-06-07,14.59,16.15,111.28,3300.0,3200.38,0,Current,,
32391,L37260,C,36,2016-07-29,12.69,17.06,360.0,6000.0,3841.34,0,Current,,
55815,L60481,C,36,2017-04-10,13.09,17.48,300.0,5000.0,4653.36,0,Current,,
14742,L12296,D,36,2015-08-31,21.19,25.8,900.0,15000.0,0.0,0,Matured,,
50626,L54632,A,60,2017-02-13,9.78,12.29,1120.0,20000.0,18668.24,0,Current,,
20090,L18770,B,36,2015-11-18,10.0,13.56,1750.0,35000.0,15518.74,0,Current,,
41343,L42972,E,36,2016-10-11,25.26,29.98,1098.0,18300.0,0.0,263,Charged Off,20222.18,2017-03-12
7297,L17171,D,36,2015-10-30,13.65,18.06,300.0,5000.0,0.0,0,Charged Off,3622.24,2017-05-02
54256,L57735,C,36,2017-03-15,13.31,17.72,150.0,2500.0,2268.99,0,Current,,
56689,L60462,B,60,2017-04-10,13.75,16.37,504.0,9000.0,0.0,0,Matured,,
44690,L46286,A,36,2016-11-14,5.74,9.63,856.8,15300.0,12122.1,0,Current,,
57802,L61511,E,60,2017-04-14,26.55,29.76,108.0,1800.0,1702.97,0,Current,,
74284,L82734,E,60,2017-07-19,26.16,29.82,844.44,12400.0,12400.0,0,Current,,
33159,L49681,AA,60,2016-12-23,6.97,8.16,935.2,33400.0,29789.98,0,Current,,
63013,L68295,D,36,2017-05-22,14.73,19.18,720.0,12000.0,11463.1,0,Current,,
37101,L38572,C,36,2016-08-16,12.86,17.24,780.0,13000.0,9539.04,0,Current,,
22417,L21281,E,36,2015-12-15,25.2,29.92,264.0,4400.0,0.0,0,Matured,,
62071,L72694,D,60,2017-06-13,16.38,19.69,546.4,8000.0,7911.51,0,Current,,
7897,L6754,D,36,2015-05-05,18.09,22.61,900.0,15000.0,4401.03,0,Current,,
1960,L1579,A,36,2014-10-14,8.41,11.21,320.0,8000.0,0.0,0,Matured,,
19420,L18389,D,36,2015-11-16,13.79,18.2,384.0,6400.0,0.0,0,Matured,,
67232,L76273,E,60,2017-06-27,26.57,29.78,540.0,9000.0,8923.97,0,Current,,
62301,L67277,B,36,2017-05-17,9.97,13.88,545.5,10000.0,9260.32,0,Current,,
29994,L30115,A,36,2016-04-05,7.71,10.5,476.0,11900.0,7270.26,0,Current,,
64064,L70595,E,60,2017-06-02,26.6,29.81,1350.0,22500.0,22310.07,0,Current,,
13589,L12425,B,36,2015-09-08,10.02,13.58,575.0,11500.0,4467.15,0,Current,,
8076,L6499,A,36,2015-04-27,7.34,10.84,250.0,5000.0,0.0,370,Charged Off,2963.25,2016-11-25
40996,L42047,B,36,2016-09-29,11.21,15.24,560.0,10000.0,7815.12,0,Current,,
24058,L22621,AA,36,2016-01-04,5.02,5.02,0.0,5000.0,0.0,0,Matured,,
47238,L49109,C,36,2016-12-14,14.64,19.04,630.0,10500.0,8788.04,0,Current,,
42910,L44285,B,36,2016-10-24,10.92,14.94,952.0,17000.0,13157.12,0,Current,,
2313,L1743,B,36,2014-10-28,11.49,15.08,1000.0,20000.0,0.0,0,Matured,,
44237,L50356,E,36,2016-12-28,25.76,29.78,184.46,3600.0,0.0,0,Matured,,
31567,L30813,B,36,2016-04-14,12.36,15.23,656.0,16400.0,10300.47,0,Current,,
11363,L10062,A,36,2015-07-21,6.9,10.39,500.0,10000.0,3564.46,0,Current,,
21054,L20028,B,36,2015-12-02,9.14,12.68,450.0,9000.0,4552.48,0,Current,,
61039,L65826,B,60,2017-05-10,11.05,13.6,224.0,4000.0,3899.24,0,Current,,
28595,L27368,C,36,2016-03-02,13.1,16.73,440.0,8800.0,5352.43,0,Current,,
38377,L39423,B,36,2016-08-29,10.14,14.15,649.6,11600.0,7936.94,0,Current,,
14618,L12551,C,36,2015-09-03,11.91,16.26,1200.0,20000.0,8626.54,0,Current,,
47180,L49176,B,36,2016-12-21,11.44,15.48,425.6,7600.0,6312.94,0,Current,,
66882,L72980,B,60,2017-06-13,12.52,15.68,881.66,13000.0,12841.14,0,Current,,
47310,L58616,C,36,2017-03-23,13.69,16.14,539.52,16000.0,14520.01,0,Current,,
47976,L50300,A,60,2016-12-27,11.44,13.99,728.0,13000.0,11388.03,0,Current,,
50468,L53001,B,36,2017-01-26,8.61,12.59,840.0,15000.0,12765.51,0,Current,,
68750,L75373,C,60,2017-06-22,15.3,18.51,670.5,10000.0,9886.24,0,Current,,
59554,L64006,E,60,2017-05-01,20.27,23.24,774.0,12900.0,12677.51,0,Current,,
13988,L11724,AA,36,2015-08-21,5.53,7.58,219.0,7300.0,2776.23,0,Current,,
20363,L19880,A,36,2015-12-02,6.56,10.05,500.0,10000.0,4966.06,0,Current,,
12024,L10633,B,36,2015-07-31,9.9,13.46,210.0,4200.0,1662.97,0,Current,,
7048,L5724,A,36,2015-04-06,8.64,12.17,350.0,7000.0,1923.51,0,Current,,
42666,L44004,E,36,2016-10-20,25.21,29.92,198.0,3300.0,2658.97,0,Current,,
12579,L18118,B,36,2015-11-12,8.19,11.72,1170.0,23400.0,10309.19,0,Current,,
72395,L80797,E,60,2017-07-13,26.25,29.77,1402.77,21400.0,21400.0,0,Current,,
5193,L4127,A,36,2015-02-17,6.76,10.25,400.0,8000.0,1680.16,0,Current,,
2595,L1999,B,36,2014-11-05,9.77,13.32,150.0,3000.0,0.0,0,Matured,,
19262,L19196,A,36,2015-11-24,6.76,10.25,600.0,12000.0,5636.44,0,Current,,
27363,L54870,AA,60,2017-02-15,9.04,10.26,238.0,8500.0,7952.26,0,Current,,
45083,L47203,A,60,2016-11-23,11.37,13.91,224.0,4000.0,3586.27,0,Current,,
49500,L51852,C,36,2017-01-17,13.56,17.99,348.0,5800.0,4986.23,0,Current,,
63021,L68479,C,60,2017-05-23,14.95,17.8,300.0,5000.0,4886.53,0,Current,,
10057,L8679,D,36,2015-06-22,25.17,29.89,444.0,7400.0,3156.82,10,In Grace,,
19125,L17719,D,36,2015-11-06,13.6,18.0,1236.0,20600.0,13575.94,56,Delinquent,,
47889,L50554,A,60,2016-12-30,12.08,14.64,280.0,5000.0,4552.21,0,Current,,
7014,L5834,A,36,2015-04-08,7.58,11.09,150.0,3000.0,0.0,0,Matured,,
70026,L78035,C,60,2017-07-05,15.03,17.88,1050.0,17500.0,17500.0,0,Current,,
72284,L81023,AA,60,2017-07-14,8.81,12.17,298.2,4000.0,3917.32,0,Current,,
30427,L29240,E,36,2016-03-28,25.02,28.92,160.0,3200.0,2063.88,0,Current,,
70760,L78431,B,60,2017-07-05,11.93,14.5,448.0,8000.0,8000.0,0,Current,,
16288,L13808,A,36,2015-09-21,7.38,10.88,250.0,5000.0,2076.16,0,Current,,
57822,L61568,B,36,2017-04-14,9.62,13.62,117.6,2100.0,1921.71,0,Current,,
41774,L42809,A,60,2016-10-07,9.15,11.64,336.0,6000.0,5253.73,0,Current,,
41911,L43184,C,36,2016-10-12,11.55,15.89,180.0,3000.0,2343.23,0,Current,,
43551,L55540,C,36,2017-02-21,12.17,14.58,472.08,14000.0,12335.9,0,Current,,
61698,L66495,B,60,2017-05-12,11.73,14.3,392.0,7000.0,6826.81,0,Current,,
23597,L22226,D,36,2015-12-30,18.44,22.98,2100.0,35000.0,18790.52,0,Current,,
62904,L70077,C,60,2017-06-01,14.2,17.02,1501.25,25000.0,24707.4,0,Current,,
45744,L69427,E,60,2017-05-30,17.86,20.03,334.26,7400.0,7218.93,0,Current,,
56633,L60703,B,60,2017-04-11,13.72,16.34,700.0,12500.0,12055.42,0,Current,,
44669,L46455,C,36,2016-11-15,13.38,17.77,1200.0,20000.0,16211.11,0,Current,,
33805,L33438,C,36,2016-06-07,14.2,18.62,60.0,1000.0,686.25,0,Current,,
30321,L29526,E,36,2016-03-29,28.92,29.89,62.5,5000.0,3430.81,0,Current,,
45105,L47738,B,36,2016-11-30,12.04,16.08,672.0,12000.0,10022.38,0,Current,,
33364,L32987,B,36,2016-06-01,9.67,13.67,952.0,17000.0,10914.55,0,Current,,
16032,L13231,D,36,2015-09-14,24.15,28.84,420.0,7000.0,3275.1,0,Current,,
46036,L48092,B,60,2016-12-05,12.77,15.35,1120.0,20000.0,17900.22,0,Current,,
33574,L34926,C,36,2016-06-29,13.29,17.69,870.0,14500.0,0.0,0,Matured,,
25730,L24288,A,36,2016-01-26,8.72,11.53,800.0,20000.0,8069.91,0,Current,,
11694,L11666,A,36,2015-08-21,6.21,9.69,1000.0,20000.0,7654.17,0,Current,,
72947,L84966,B,36,2017-07-26,9.94,13.62,733.6,14000.0,14000.0,0,Current,,
43621,L45252,B,36,2016-11-02,10.27,14.28,487.2,8700.0,0.0,0,Matured,,
9373,L7672,A,36,2015-05-28,8.43,11.96,250.0,5000.0,0.0,520,Charged Off,4136.79,2016-06-28
54483,L75731,C,60,2017-06-23,14.04,15.59,809.28,24000.0,23717.94,0,Current,,
35988,L36497,B,36,2016-07-22,10.02,14.02,728.0,13000.0,0.0,0,Matured,,
60622,L66689,E,60,2017-05-15,26.59,29.82,252.0,4200.0,4167.54,17,Delinquent,,
58870,L63940,E,60,2017-05-01,26.6,29.83,1332.0,22200.0,21735.79,0,Current,,
14063,L12433,D,36,2015-09-03,14.88,19.31,660.0,11000.0,0.0,0,Matured,,
18755,L17284,A,36,2015-11-02,7.69,11.21,1750.0,35000.0,0.0,0,Matured,,
67577,L74646,E,60,2017-06-20,17.92,20.85,900.0,15000.0,14847.99,0,Current,,
52976,L60063,B,36,2017-04-05,9.95,13.35,47.82,1000.0,844.15,0,Current,,
61942,L68534,C,60,2017-05-24,15.04,17.9,300.0,5000.0,4886.8,0,Current,,
18194,L16877,A,36,2015-10-28,7.33,10.84,175.0,3500.0,1551.65,0,Current,,
51927,L54712,D,36,2017-02-13,16.17,20.65,2928.0,48800.0,43311.41,0,Current,,
39015,L39443,AA,60,2016-09-06,8.09,9.3,420.0,15000.0,12892.31,0,Current,,
17408,L24083,B,36,2016-01-22,11.65,14.51,240.0,6000.0,3231.5,0,Current,,
27021,L25802,B,36,2016-02-16,9.9,12.73,240.0,6000.0,3351.76,0,Current,,
30956,L30618,B,36,2016-04-12,9.79,10.48,75.0,7500.0,4646.51,0,Current,,
18642,L17106,D,36,2015-10-30,13.95,18.36,2100.0,35000.0,0.0,0,Matured,,
11860,L19312,B,36,2015-11-25,8.57,12.1,200.0,4000.0,1879.98,0,Current,,
39772,L40502,B,36,2016-09-13,10.96,14.99,828.8,14800.0,11156.22,0,Current,,
72492,L80281,A,36,2017-07-12,8.75,13.31,191.13,3000.0,3000.0,0,Current,,
35238,L36012,B,36,2016-07-15,11.75,15.79,476.0,8500.0,5990.27,0,Current,,
24597,L23679,D,36,2016-01-20,14.65,19.08,600.0,10000.0,5518.76,0,Current,,
12593,L10939,C,36,2015-08-06,11.76,16.1,780.0,13000.0,5217.48,0,Current,,
16959,L14545,E,36,2015-09-29,24.22,28.91,768.0,12800.0,0.0,0,Matured,,
64933,L72223,C,60,2017-06-12,15.11,17.96,1200.0,20000.0,19771.36,0,Current,,
37991,L38317,C,36,2016-08-12,12.68,17.05,600.0,10000.0,7305.43,0,Current,,
11546,L26813,AA,36,2016-02-25,5.3,6.06,33.72,3000.0,1641.73,0,Current,,
12730,L11095,B,36,2015-08-10,11.32,14.9,750.0,15000.0,0.0,538,Charged Off,14336.99,2016-06-10
45881,L49511,A,36,2016-12-19,7.56,11.51,280.0,5000.0,4370.23,43,Delinquent,,
14819,L12408,D,36,2015-09-01,14.0,18.41,720.0,12000.0,2633.6,0,Current,,
37471,L39952,A,60,2016-09-06,8.76,10.87,487.76,10200.0,8790.01,0,Current,,
57484,L61430,B,60,2017-04-14,11.35,13.9,504.0,9000.0,8659.71,0,Current,,
29314,L28295,E,36,2016-03-15,25.99,29.92,210.0,4200.0,2722.52,0,Current,,
32067,L31552,C,36,2016-05-02,12.17,15.77,250.0,5000.0,3267.62,0,Current,,
891,L6705,B,36,2015-05-04,11.41,15.0,750.0,15000.0,0.0,0,Matured,,
6768,L60517,A,60,2017-04-10,10.6,13.13,112.0,2000.0,1922.9,0,Current,,
31173,L30142,A,36,2016-04-05,8.12,10.92,352.0,8800.0,5104.87,0,Current,,
5341,L4301,A,36,2015-02-20,6.55,10.03,750.0,15000.0,3115.09,0,Current,,
46005,L48880,AA,60,2016-12-13,8.81,10.02,546.0,19500.0,17286.5,0,Current,,
34493,L34323,B,36,2016-06-21,11.56,15.61,403.2,7200.0,0.0,0,Matured,,
54875,L59200,A,36,2017-03-28,6.84,10.78,2800.0,50000.0,44939.43,0,Current,,
8901,L10480,B,36,2015-07-29,9.33,12.87,175.0,3500.0,0.0,0,Matured,,
62090,L79508,A,60,2017-07-10,9.34,12.41,577.41,8500.0,8500.0,0,Current,,
16109,L13340,D,36,2015-09-15,15.36,19.8,348.0,5800.0,0.0,108,Charged Off,3297.5,2017-05-18
45315,L48226,B,36,2016-12-06,9.1,13.08,420.0,7500.0,6199.74,0,Current,,
54969,L58271,A,36,2017-03-20,6.56,10.51,616.0,11000.0,9874.31,0,Current,,
38061,L38435,B,36,2016-08-15,11.62,15.66,336.0,6000.0,4380.62,0,Current,,
17914,L16493,B,36,2015-10-23,8.71,12.24,630.0,12600.0,0.0,0,Matured,,
25140,L24161,A,36,2016-01-25,8.18,10.98,744.0,18600.0,0.0,0,Matured,,
39780,L40406,A,36,2016-09-12,6.63,10.55,84.0,1500.0,1112.39,0,Current,,
63821,L76216,D,60,2017-06-26,16.01,19.29,850.63,12500.0,12354.91,0,Current,,
48973,L51377,E,36,2017-01-11,25.07,29.73,300.0,5000.0,4416.03,0,Current,,
29355,L28516,A,36,2016-03-18,8.22,11.02,140.0,3500.0,2050.0,0,Current,,
25341,L24191,A,36,2016-01-25,7.4,10.18,400.0,10000.0,0.0,0,Matured,,
34569,L34392,B,36,2016-06-21,9.49,13.49,1064.0,19000.0,12730.84,0,Current,,
5873,L4825,A,36,2015-03-10,7.86,11.37,1000.0,20000.0,4815.89,0,Current,,
64222,L72974,A,36,2017-06-14,7.14,10.93,379.33,7000.0,0.0,0,Matured,,
32014,L31440,D,36,2016-05-02,14.64,19.84,420.0,6000.0,3971.29,0,Current,,
14280,L12018,D,36,2015-08-26,13.91,18.31,1440.0,24000.0,9582.98,0,Current,,
53804,L57172,C,36,2017-03-10,14.56,19.01,648.0,10800.0,9819.79,0,Current,,
17654,L15841,A,36,2015-10-15,8.11,11.63,1000.0,20000.0,0.0,0,Matured,,
19750,L18127,B,36,2015-11-12,7.75,11.26,250.0,5000.0,2551.46,50,Delinquent,,
16266,L13644,C,36,2015-09-18,12.94,17.32,330.0,5500.0,2285.55,0,Current,,
43966,L45570,B,36,2016-11-07,10.52,14.54,1036.0,18500.0,14913.73,0,Current,,
38693,L39027,A,60,2016-08-22,8.77,11.25,728.0,13000.0,11018.74,0,Current,,
37050,L41879,A,36,2016-09-27,6.39,10.31,672.0,12000.0,8892.9,0,Current,,
75849,L86106,C,36,2017-07-31,11.87,15.62,520.5,10000.0,10000.0,0,Current,,
10805,L9054,B,36,2015-06-29,9.3,12.84,1250.0,25000.0,0.0,0,Matured,,
36403,L37273,C,36,2016-07-29,12.75,17.12,660.0,11000.0,0.0,0,Matured,,
20145,L18676,A,36,2015-11-17,6.86,10.36,475.0,9500.0,4461.2,0,Current,,
32071,L31475,C,36,2016-05-02,14.0,17.65,650.0,13000.0,0.0,0,Charged Off,11819.35,2017-04-01
43682,L45641,B,36,2016-11-07,9.77,13.77,324.8,5800.0,4483.09,0,Current,,
15728,L13301,D,36,2015-09-15,25.26,29.98,708.0,11800.0,0.0,0,Matured,,
9732,L8195,AA,36,2015-06-10,5.98,8.03,600.0,20000.0,5280.0,0,Current,,
27216,L36357,E,36,2016-07-21,23.44,28.11,3000.0,50000.0,36831.56,0,Current,,
41578,L42990,B,36,2016-10-11,12.23,16.29,672.0,12000.0,9696.43,21,Delinquent,,
63454,L71801,D,60,2017-06-08,16.63,19.67,534.91,8500.0,8272.97,0,Current,,
63102,L68662,D,36,2017-05-23,14.74,19.19,300.0,5000.0,4683.78,0,Current,,
10818,L9114,C,36,2015-07-01,12.06,16.42,900.0,15000.0,0.0,0,Matured,,
4254,L3373,C,36,2015-01-13,15.54,19.99,960.0,16000.0,0.0,719,Charged Off,14705.54,2015-12-12
26146,L32043,A,36,2016-05-11,8.11,10.91,500.0,12500.0,7842.84,16,Delinquent,,
22727,L26643,A,36,2016-02-24,7.58,9.54,260.54,9200.0,0.0,0,Matured,,
57978,L66497,D,60,2017-05-12,16.05,19.02,987.68,16000.0,15362.99,0,Current,,
67086,L85630,D,36,2017-07-28,15.53,19.39,187.34,3600.0,3600.0,0,Current,,
75182,L84643,C,60,2017-07-25,14.95,18.09,1316.0,20000.0,20000.0,0,Current,,
47507,L49830,A,36,2016-12-21,7.03,10.96,112.0,2000.0,1643.01,0,Current,,
12116,L10197,A,36,2015-07-23,7.28,10.78,630.0,12600.0,4492.36,0,Current,,
8190,L6949,D,36,2015-05-11,18.51,23.04,1200.0,20000.0,0.0,0,Matured,,
60307,L67717,C,36,2017-05-18,12.09,18.01,120.0,1500.0,1421.18,0,Current,,
35271,L35217,B,60,2016-07-05,12.61,15.19,336.0,6000.0,4978.94,0,Current,,
41037,L43046,C,36,2016-10-11,14.0,18.41,840.0,14000.0,10999.59,0,Current,,
48558,L52892,B,36,2017-01-26,9.84,13.85,532.0,9500.0,8100.26,0,Current,,
40146,L40838,B,60,2016-09-19,13.89,16.5,1960.0,35000.0,30689.42,0,Current,,
15172,L12749,D,36,2015-09-08,19.93,24.5,480.0,8000.0,0.0,297,Charged Off,6333.19,2017-02-06
43341,L44719,B,36,2016-10-27,9.36,13.34,896.0,16000.0,12397.22,0,Current,,
70313,L81151,C,60,2017-07-14,15.22,18.33,1626.25,25000.0,25000.0,0,Current,,
16805,L14793,B,36,2015-10-01,10.57,14.14,1250.0,25000.0,0.0,0,Matured,,
23085,L26195,B,36,2016-02-19,10.03,12.28,480.0,15000.0,8497.1,0,Current,,
53485,L66851,E,60,2017-05-15,17.44,19.9,1579.26,31100.0,30440.6,0,Current,,
65005,L75759,C,36,2017-06-23,11.86,16.22,1200.0,20000.0,19349.47,0,Current,,
5334,L4321,AA,36,2015-02-23,6.46,8.52,450.0,15000.0,0.0,0,Matured,,
35478,L37606,B,36,2016-08-03,11.22,15.25,571.2,10200.0,7398.76,0,Current,,
43606,L45811,D,36,2016-11-08,19.22,23.77,690.0,11500.0,9472.03,0,Current,,
51129,L55843,C,36,2017-02-23,14.19,18.62,216.0,3600.0,3183.28,0,Current,,
69946,L80526,A,60,2017-07-13,10.37,12.9,560.0,10000.0,9933.75,0,Current,,
37477,L41753,B,60,2016-09-26,13.36,15.96,532.0,9500.0,8315.77,0,Current,,
35567,L35593,C,36,2016-07-11,13.1,17.48,360.0,6000.0,4253.85,0,Current,,
2864,L2226,B,36,2014-11-18,10.14,13.7,750.0,15000.0,0.0,0,Matured,,
67561,L73773,C,36,2017-06-16,12.13,15.89,780.75,15000.0,14650.35,0,Current,,
7442,L6093,B,36,2015-04-15,10.69,14.26,900.0,18000.0,0.0,0,Matured,,
41349,L42830,C,36,2016-10-07,11.51,15.85,900.0,15000.0,11714.58,0,Current,,
4804,L34211,A,36,2016-06-20,7.99,10.18,314.7,10000.0,6649.67,0,Current,,
14802,L12648,D,36,2015-09-04,22.22,26.85,600.0,10000.0,4680.46,0,Current,,
24120,L36922,A,36,2016-07-26,8.4,12.36,672.0,12000.0,0.0,0,Matured,,
33486,L33619,C,36,2016-06-08,13.35,17.75,630.0,10500.0,7168.19,0,Current,,
4148,L15033,AA,36,2015-10-06,5.64,7.69,102.0,3400.0,0.0,0,Matured,,
35360,L35440,B,36,2016-07-07,10.3,14.31,672.0,12000.0,8401.83,0,Current,,
45015,L46780,E,36,2016-11-21,25.0,29.72,408.0,6800.0,5685.24,0,Current,,
45122,L46860,C,36,2016-11-21,14.42,18.84,300.0,5000.0,4036.0,0,Current,,
6996,L5747,B,36,2015-04-06,9.49,13.04,900.0,18000.0,4364.19,0,Current,,
8917,L7304,D,36,2015-05-19,15.4,19.84,360.0,6000.0,1895.11,0,Current,,
6352,L38746,B,60,2016-08-17,11.28,12.68,220.29,7000.0,5985.94,0,Current,,
31621,L31688,B,36,2016-05-06,10.24,14.25,392.0,7000.0,4524.17,0,Current,,
59158,L65796,B,60,2017-05-10,11.27,14.18,759.6,12000.0,11688.64,0,Current,,
16030,L13806,D,36,2015-09-21,17.55,22.05,210.0,3500.0,0.0,133,Charged Off,2230.89,2017-07-20
47416,L49423,E,36,2016-12-16,25.02,29.74,282.0,4700.0,0.0,0,Matured,,
61038,L65825,A,36,2017-05-10,7.11,11.06,280.0,5000.0,4740.55,0,Current,,
33147,L33856,B,60,2016-06-13,15.82,18.48,168.0,3000.0,2523.56,0,Current,,
9778,L8054,A,36,2015-06-11,7.41,10.91,750.0,15000.0,4876.06,0,Current,,
58655,L83078,A,36,2017-07-24,7.86,11.57,473.4,9000.0,9000.0,0,Current,,
2291,L1824,A,36,2014-10-29,7.37,10.15,440.0,11000.0,0.0,0,Matured,,
29542,L28717,D,60,2016-03-21,23.53,24.15,87.5,7000.0,5842.68,0,Current,,
67572,L77192,E,60,2017-06-29,18.7,21.65,72.0,1200.0,1200.0,0,Current,,
33387,L33064,D,36,2016-06-01,18.08,22.6,1800.0,30000.0,0.0,304,Charged Off,29132.31,2017-01-30
70091,L79034,A,60,2017-07-07,10.16,13.21,670.5,10000.0,9832.32,0,Current,,
33482,L34952,D,36,2016-06-29,15.27,19.72,318.0,5300.0,3798.08,0,Current,,
68384,L74791,D,36,2017-06-20,14.74,19.18,84.0,1400.0,1368.6,0,Current,,
26873,L25834,D,36,2016-02-16,16.99,20.71,500.0,10000.0,6153.61,0,Current,,
62812,L68050,C,36,2017-05-22,11.8,16.17,120.0,2000.0,1906.47,0,Current,,
41570,L71270,B,60,2017-06-06,13.32,16.42,1353.21,20600.0,20043.26,0,Current,,
53335,L58494,B,60,2017-03-21,13.55,16.17,980.0,17500.0,16666.22,0,Current,,
13141,L11030,B,36,2015-08-07,10.4,13.97,600.0,12000.0,0.0,0,Charged Off,10950.86,2016-05-01
73253,L84150,B,36,2017-07-24,9.88,13.6,520.5,10000.0,10000.0,0,Current,,
66773,L73314,C,60,2017-06-15,14.53,17.96,360.25,5000.0,4941.97,0,Current,,
14482,L14465,B,36,2015-09-29,10.17,13.74,600.0,12000.0,6145.62,61,Delinquent,,
43502,L48501,B,60,2016-12-08,15.01,17.68,2380.0,42500.0,0.0,212,Charged Off,45033.08,2017-05-02
75061,L84328,E,60,2017-07-24,26.13,29.82,527.76,7700.0,7700.0,0,Current,,
4245,L3326,B,36,2015-01-12,9.2,12.74,1150.0,23000.0,4279.8,0,Current,,
62909,L68904,B,60,2017-05-24,13.15,15.93,1786.5,30000.0,29285.25,0,Current,,
40180,L41211,A,60,2016-09-21,10.68,13.21,1232.0,22000.0,19086.21,0,Current,,
62508,L84471,D,36,2017-07-25,13.57,19.54,96.0,1200.0,1200.0,0,Current,,
39147,L40325,C,36,2016-09-12,14.57,18.99,270.0,4500.0,3436.71,0,Current,,
53252,L56517,A,60,2017-03-03,9.87,12.39,1120.0,20000.0,18952.4,0,Current,,
47646,L49698,C,36,2016-12-20,13.05,17.43,120.0,2000.0,1668.92,0,Current,,
35796,L36069,A,36,2016-07-18,6.8,10.73,364.0,6500.0,4474.35,0,Current,,
46567,L48647,AA,36,2016-12-12,5.06,6.96,448.0,16000.0,13056.93,0,Current,,
2603,L3991,B,36,2015-02-09,9.87,13.42,450.0,9000.0,1934.84,0,Current,,
24363,L22912,E,36,2016-01-07,21.2,25.81,300.0,5000.0,0.0,0,Matured,,
61253,L67229,E,60,2017-05-16,17.83,20.77,660.0,11000.0,10747.99,0,Current,,
52328,L55698,B,36,2017-02-22,9.48,13.48,481.6,8600.0,7536.16,0,Current,,
46109,L48104,A,60,2016-12-05,11.23,13.77,224.0,4000.0,3638.86,0,Current,,
25237,L24025,B,36,2016-01-22,12.04,14.91,120.0,3000.0,1626.02,0,Current,,
75653,L85708,B,60,2017-07-28,13.63,16.96,422.28,6000.0,6000.0,0,Current,,
32785,L32284,B,36,2016-05-17,9.46,12.28,600.0,15000.0,9663.83,0,Current,,
11590,L9910,A,36,2015-07-17,6.81,10.3,1505.0,30100.0,10726.12,0,Current,,
28646,L27499,B,36,2016-03-04,9.1,11.2,75.0,2500.0,1472.12,0,Current,,
24011,L23051,B,36,2016-01-08,9.64,13.2,300.0,6000.0,3013.92,0,Current,,
39843,L40510,B,36,2016-09-14,10.55,14.57,196.0,3500.0,2631.23,0,Current,,
69039,L79827,E,60,2017-07-11,26.28,29.79,1508.2,23100.0,23100.0,0,Current,,
38288,L38665,E,36,2016-08-17,25.25,29.97,222.0,3700.0,0.0,0,Matured,,
31035,L30000,AA,60,2016-04-04,8.11,8.97,290.0,14500.0,11402.18,0,Current,,
9836,L8055,B,36,2015-06-08,9.79,13.35,1750.0,35000.0,0.0,0,Matured,,
55884,L70806,E,60,2017-06-05,17.86,20.35,281.82,5500.0,5441.47,0,Current,,
54228,L58048,A,36,2017-03-17,5.85,9.77,739.2,13200.0,11845.6,0,Current,,
74983,L84688,B,60,2017-07-25,11.6,14.57,1930.34,29900.0,29900.0,0,Current,,
65649,L75528,C,60,2017-06-22,15.16,18.42,825.83,12100.0,11911.59,0,Current,,
73545,L81614,D,60,2017-07-17,15.76,18.99,670.5,10000.0,10000.0,0,Current,,
23057,L32120,C,36,2016-05-13,14.51,18.17,210.0,4200.0,2784.97,0,Current,,
